species,moseq_cluster,log2_enrichment_vs_arm_expected,standardized_residual,q_value,soft_frames,expected_soft_frames,moseq_label,aligned_arm,omnibus_chi2,omnibus_p_value,omnibus_dof
Peromyscus_polionotus,36,-0.32360016368418043,-65.69749014606663,0.0,85429.74179767378,106911.01424236914,groom_3,1,28308504.904681325,0.0,378
Peromyscus_polionotus,37,-0.5372656364145438,-101.58348334288985,0.0,73553.57184354964,106742.36960407784,groom_4,1,28308504.904681325,0.0,378
Peromyscus_polionotus,38,0.9652853101486494,250.86357930480816,0.0,135447.51789589325,69373.11859338915,brief_fast,1,28308504.904681325,0.0,378
Peromyscus_polionotus,39,-0.6192677581636996,-86.7629732720722,0.0,40234.903620596786,61804.64780065359,paused_in_rear,1,28308504.904681325,0.0,378
Peromyscus_polionotus,40,0.03168930543821042,5.91613963855452,3.5456623112377675e-09,72540.91140690629,70964.89692369469,groom_5,1,28308504.904681325,0.0,378
Peromyscus_polionotus,41,-0.05679718361874614,-10.607819332411891,3.0529415716114496e-26,72592.47647700596,75507.35693508839,jump_2,1,28308504.904681325,0.0,378
Peromyscus_polionotus,42,-0.12242051670451166,-21.281898210305958,1.9972301855561166e-100,62863.82574919433,68431.02659283316,groom_6,1,28308504.904681325,0.0,378
Peromyscus_polionotus,43,-4.269147193492078,-177.04074163154652,0.0,1808.2688439137576,34866.17942140653,syllable_43,1,28308504.904681325,0.0,378
Peromyscus_polionotus,44,-0.8722869248992055,-87.18158939497629,0.0,20169.242983539265,36921.05712546972,groom_7,1,28308504.904681325,0.0,378
Peromyscus_polionotus,45,0.572401289627713,67.2309185225812,0.0,28339.768442075012,19058.39569657013,idle_enter_groom,1,28308504.904681325,0.0,378
Peromyscus_polionotus,46,0.1503682670557027,18.30880086888331,8.260635911050753e-75,30829.27908558213,27777.810477996663,syllable_46,1,28308504.904681325,0.0,378
Peromyscus_polionotus,47,-0.010118330402362277,-1.084213896351928,0.28276856240736864,23897.88808498169,24066.084870399478,groom_10,1,28308504.904681325,0.0,378
Peromyscus_polionotus,48,0.01601423308478036,1.7242895511224732,0.08682624066036583,24129.744364474325,23863.379967910063,groom_11,1,28308504.904681325,0.0,378
Peromyscus_polionotus,49,-0.8863108539100468,-27.520856413430803,1.2113766564971794e-166,1944.8419295843569,3594.930192773231,syllable_49,1,28308504.904681325,0.0,378
Peromyscus_polionotus,50,-40.91770989879775,-45.57524549597249,0.0,0.0,2077.103002019161,syllable_50,1,28308504.904681325,0.0,378
Peromyscus_polionotus,52,-0.3106352063509331,-1.1564470236561042,0.2520816596885747,28.73571457301873,35.639574967292894,syllable_52,1,28308504.904681325,0.0,378
Peromyscus_polionotus,61,-42.86479110143723,-89.49400413689148,0.0,0.0,8009.176776454948,syllable_61,1,28308504.904681325,0.0,378
Peromyscus_polionotus,73,-33.309840155464066,-3.263101018016501,0.0011572339346580481,0.0,10.647828254780325,73,1,28308504.904681325,0.0,378
Peromyscus_polionotus,94,-33.357103477774956,-3.3169914922509434,0.0009578146029525359,0.0,11.002432560665138,94,1,28308504.904681325,0.0,378
