cluster,x,y,embedding_method
228,5.874662,6.773639,UMAP
229,3.2692807,2.5749302,UMAP
230,2.8741088,4.4233055,UMAP
231,4.8417974,4.7376833,UMAP
232,0.64191407,5.893468,UMAP
233,0.79911816,5.226362,UMAP
234,5.193903,2.8613868,UMAP
235,3.2866693,7.373977,UMAP
236,-0.3049435,6.1729865,UMAP
237,0.3294959,5.5558624,UMAP
238,4.0283856,3.8869908,UMAP
239,4.2726073,8.8870945,UMAP
240,5.2054234,7.7169495,UMAP
241,2.5874357,4.3712606,UMAP
242,0.9375016,6.6009035,UMAP
243,5.448582,8.680591,UMAP
244,2.576581,7.0679975,UMAP
245,3.2406154,7.968821,UMAP
246,2.7348413,7.287027,UMAP
247,3.3424044,2.315139,UMAP
248,4.498746,4.401647,UMAP
249,6.4095182,7.2244167,UMAP
250,5.140383,8.068815,UMAP
251,2.0024385,5.070377,UMAP
252,3.5383396,7.9714546,UMAP
253,1.1209172,6.0958624,UMAP
254,2.2956524,7.6571403,UMAP
255,5.3867235,7.073432,UMAP
256,-0.75187826,5.7922363,UMAP
257,2.965883,3.1091535,UMAP
258,4.393612,2.5531785,UMAP
259,1.1036097,6.5356007,UMAP
260,5.3062916,3.6688998,UMAP
261,5.8416333,4.1507607,UMAP
262,5.746424,3.7213295,UMAP
263,2.6969206,8.203286,UMAP
264,-0.2145947,6.2814207,UMAP
265,5.9742775,8.880986,UMAP
266,5.2496715,8.109912,UMAP
267,4.092942,3.8974226,UMAP
268,5.0952306,8.883162,UMAP
269,3.9547749,8.73715,UMAP
270,5.3250036,6.0011873,UMAP
271,-0.5394458,5.6584034,UMAP
272,0.4863626,5.174772,UMAP
273,2.2306914,6.677122,UMAP
274,5.9059763,6.079897,UMAP
275,3.6610217,2.302938,UMAP
276,-0.13400729,5.3824944,UMAP
277,2.8556595,3.6563241,UMAP
278,0.433671,5.1592083,UMAP
279,2.7402706,6.741045,UMAP
280,3.4554405,5.018402,UMAP
281,-0.23752747,5.9166393,UMAP
282,5.349053,4.416605,UMAP
283,2.2528977,5.8451815,UMAP
284,4.4030786,7.187434,UMAP
285,0.893112,5.0723953,UMAP
286,-0.78819084,5.824902,UMAP
287,5.1919556,6.114796,UMAP
288,5.5753384,8.031028,UMAP
289,3.3238072,4.296912,UMAP
290,4.3069725,4.3187156,UMAP
291,-0.56589705,5.8562174,UMAP
292,6.485663,7.6286836,UMAP
293,3.2928863,1.8139374,UMAP
294,3.224994,8.594278,UMAP
295,3.27816,8.192984,UMAP
296,3.7829142,3.6045969,UMAP
297,5.707227,6.942499,UMAP
298,2.1584187,6.599209,UMAP
299,-0.7256948,6.1349955,UMAP
300,2.925501,5.0988235,UMAP
301,5.03296,2.8785233,UMAP
302,4.1954184,7.406531,UMAP
303,3.0762932,2.702088,UMAP
304,5.648786,8.853264,UMAP
305,5.450398,3.1502128,UMAP
306,5.9316506,5.1673837,UMAP
307,2.7782466,2.1615894,UMAP
308,3.9850514,6.049554,UMAP
309,3.3655844,6.4940796,UMAP
310,6.2931695,8.293927,UMAP
311,2.5298262,6.4807057,UMAP
312,2.0412474,6.898989,UMAP
313,4.9291844,4.573839,UMAP
314,2.3131633,2.9183576,UMAP
315,3.2060819,1.9422529,UMAP
316,3.1672807,5.050801,UMAP
317,3.5539162,8.7984705,UMAP
318,5.7692494,5.7003975,UMAP
319,4.827485,4.880338,UMAP
320,4.1175485,3.783768,UMAP
321,2.4700992,3.8868349,UMAP
322,2.7211585,6.3276224,UMAP
323,5.3905516,4.9058876,UMAP
324,2.9788,1.9341174,UMAP
325,5.257292,6.6624637,UMAP
326,5.4812317,5.9327154,UMAP
327,5.456095,3.2972782,UMAP
328,6.469456,7.3388476,UMAP
329,-0.7657386,6.386095,UMAP
330,-1.0374274,6.01436,UMAP
331,2.8741744,3.7901676,UMAP
332,3.6826334,7.514726,UMAP
333,0.5693219,5.6360707,UMAP
334,6.0594063,6.9414177,UMAP
335,5.678167,5.2114563,UMAP
336,-0.092728704,5.7385154,UMAP
337,2.310297,5.691458,UMAP
338,-1.0965137,6.092524,UMAP
339,4.128566,4.8606286,UMAP
340,5.0728846,8.966946,UMAP
341,3.8850806,5.92203,UMAP
342,3.9549978,9.043126,UMAP
343,3.595294,3.6801884,UMAP
344,4.556586,2.4154887,UMAP
345,3.9748435,8.749213,UMAP
346,3.04533,1.9308051,UMAP
347,4.430632,4.2482467,UMAP
348,0.48887706,5.6274204,UMAP
349,3.4493895,3.5868042,UMAP
350,4.796561,3.7607882,UMAP
351,4.7529006,2.8015387,UMAP
352,3.2026753,4.71151,UMAP
353,3.4501936,4.313075,UMAP
354,3.957014,3.7293909,UMAP
355,2.5514283,3.7288246,UMAP
356,1.1892333,4.813193,UMAP
357,5.763828,5.0814376,UMAP
358,3.6811213,8.0120125,UMAP
359,6.2714024,8.577641,UMAP
360,5.754871,3.9016404,UMAP
361,2.8932085,4.233032,UMAP
362,2.8739192,7.1601257,UMAP
363,5.5028257,6.161679,UMAP
364,1.2279803,4.4750834,UMAP
365,1.5486904,5.2948966,UMAP
366,1.1698056,5.12065,UMAP
367,2.7383587,2.3954003,UMAP
368,3.3114066,8.723287,UMAP
369,5.2401347,3.3216443,UMAP
370,2.2469523,5.9980555,UMAP
371,4.1677847,2.5490723,UMAP
372,4.5272865,3.3674355,UMAP
373,5.680105,5.0942607,UMAP
374,5.0066566,9.155801,UMAP
375,4.5693083,8.61298,UMAP
376,2.458374,6.8140306,UMAP
377,4.797645,3.6508474,UMAP
378,3.1880257,2.4423332,UMAP
379,2.307116,3.5706851,UMAP
380,2.87543,3.0806513,UMAP
381,2.8720157,2.5418334,UMAP
382,1.9138992,5.6589007,UMAP
383,2.747471,5.842963,UMAP
384,1.9460024,6.141133,UMAP
385,4.5604763,4.50246,UMAP
386,4.850996,6.0132093,UMAP
387,4.6033406,8.586768,UMAP
388,1.4656311,4.24384,UMAP
389,5.1074896,3.052797,UMAP
390,3.589903,8.60101,UMAP
391,3.2553673,8.22155,UMAP
392,6.2230186,7.5775466,UMAP
393,4.961954,7.36806,UMAP
394,4.66637,8.840709,UMAP
395,6.0698657,7.1784234,UMAP
396,4.9463034,2.936535,UMAP
397,5.6672254,3.9655225,UMAP
398,3.627155,3.3662105,UMAP
399,4.6529994,4.3202205,UMAP
400,1.7839347,6.617361,UMAP
401,4.5160093,5.1067753,UMAP
402,3.5068665,2.700221,UMAP
403,3.8128402,4.727595,UMAP
404,4.65997,8.009036,UMAP
405,4.2321153,5.4848104,UMAP
406,4.6760554,7.4952946,UMAP
407,4.1539917,8.391136,UMAP
408,4.1494946,3.5290406,UMAP
409,2.146308,3.5950463,UMAP
410,6.281432,7.5368137,UMAP
411,4.882807,2.422555,UMAP
412,4.1933713,5.466288,UMAP
413,1.5489496,6.8138547,UMAP
414,4.438148,7.521815,UMAP
415,4.0153203,3.1903331,UMAP
416,5.8141165,6.142694,UMAP
417,2.5010927,7.5501494,UMAP
418,3.9687586,4.496352,UMAP
419,2.229363,3.2388475,UMAP
420,3.97251,1.8244729,UMAP
421,3.9283898,8.953698,UMAP
422,4.366982,3.7906616,UMAP
423,3.8104274,2.4641218,UMAP
424,3.0465739,8.072392,UMAP
425,3.9604282,1.8991159,UMAP
426,4.1726036,5.775458,UMAP
427,5.19992,5.453849,UMAP
428,4.3968496,8.713265,UMAP
429,1.3876274,6.0902715,UMAP
430,1.7751709,5.5968003,UMAP
431,2.99205,3.5328965,UMAP
432,2.8139706,2.4120429,UMAP
433,2.0696702,5.930001,UMAP
434,5.559607,8.04767,UMAP
435,-0.29180056,5.51488,UMAP
436,2.408079,6.773583,UMAP
437,4.2328963,8.954717,UMAP
438,5.5075264,5.4934764,UMAP
439,0.04488882,5.7621317,UMAP
440,3.9273355,2.033181,UMAP
441,6.128953,6.9700694,UMAP
442,5.688803,3.820636,UMAP
443,6.1833997,7.568073,UMAP
444,1.8266069,4.7405844,UMAP
445,5.7091393,4.713953,UMAP
446,2.6990094,2.6089747,UMAP
447,0.18453355,5.989738,UMAP
448,5.2525425,8.893398,UMAP
449,3.2941418,3.246155,UMAP
450,2.0399177,7.202054,UMAP
451,1.659027,6.2990575,UMAP
452,6.290999,8.268718,UMAP
453,4.3937464,3.8059573,UMAP
454,3.4706917,8.487414,UMAP
455,2.5400133,4.2850595,UMAP
456,0.33804274,5.1204476,UMAP
457,2.3985984,4.513506,UMAP
458,4.697432,4.475761,UMAP
459,5.952402,6.0448127,UMAP
460,3.1102588,4.725374,UMAP
461,2.620827,3.397196,UMAP
462,0.63291335,5.6749945,UMAP
463,3.123559,2.3460574,UMAP
464,-0.67724043,5.713072,UMAP
465,4.865492,5.214643,UMAP
466,5.5512276,8.851915,UMAP
467,2.846279,7.7596803,UMAP
468,2.3165917,5.195761,UMAP
469,3.2568846,3.5254707,UMAP
