species,min_occupancy,min_outgoing,n_active_clusters,status,retained_occupancy_frames,retained_occupancy_fraction,retained_within_active_transitions,retained_within_active_transition_fraction,mean_transition_entropy_bits,stationary_weighted_transition_entropy_bits,pi_effective_clusters,frobenius_delta_from_previous_threshold,lambda_2_real,lambda_2_imag,lambda_2_abs,lambda_3_real,lambda_3_imag,lambda_3_abs,lambda_4_real,lambda_4_imag,lambda_4_abs,lambda_5_real,lambda_5_imag,lambda_5_abs,lambda_6_real,lambda_6_imag,lambda_6_abs,lambda_7_real,lambda_7_imag,lambda_7_abs,lambda_8_real,lambda_8_imag,lambda_8_abs,lambda_9_real,lambda_9_imag,lambda_9_abs,lambda_10_real,lambda_10_imag,lambda_10_abs,lambda_11_real,lambda_11_imag,lambda_11_abs,lambda_12_real,lambda_12_imag,lambda_12_abs,lambda_13_real,lambda_13_imag,lambda_13_abs
Mus_spretus,1,25,1172,ok,9720048,0.9999876545343661,9718008,0.9999753041906319,6.342145571033985,6.240213552074522,241.50989977985276,2.6207239627838135,0.9083014250922106,0.0,0.9083014250922106,0.8105774380058788,0.0,0.8105774380058788,0.6997007396975538,0.0,0.6997007396975538,0.6881901536605667,0.0,0.6881901536605667,0.6540944937394011,0.0,0.6540944937394011,0.5487338078587827,0.0,0.5487338078587827,0.53678062493946,0.0,0.53678062493946,0.49858337239880396,0.0,0.49858337239880396,0.46772964377875653,0.0,0.46772964377875653,0.4407070102159031,0.0,0.4407070102159031,0.43480980387470775,0.0,0.43480980387470775,0.4136694023247378,0.0,0.4136694023247378
Mus_spretus,1,50,1155,ok,9719417,0.9999227379609077,9716746,0.9998454453930379,6.405325769314836,6.240294456311631,241.48275258327863,2.3406643867492676,0.9083046341676767,0.0,0.9083046341676767,0.8105803814774356,0.0,0.8105803814774356,0.6997037387831059,0.0,0.6997037387831059,0.6881973331384323,0.0,0.6881973331384323,0.6541002314479196,0.0,0.6541002314479196,0.5487512336528368,0.0,0.5487512336528368,0.5367748035578894,0.0,0.5367748035578894,0.49817247066516146,0.0,0.49817247066516146,0.46773611516359814,0.0,0.46773611516359814,0.4405611129538264,0.0,0.4405611129538264,0.43485087906832376,0.0,0.43485087906832376,0.41364385494102424,0.0,0.41364385494102424
Mus_spretus,1,100,1138,ok,9718096,0.9997868349600542,9714133,0.9995765697685426,6.458303170933061,6.240374411959129,241.43549501318697,1.7948354482650757,0.9083043103415024,0.0,0.9083043103415024,0.8105756350419188,0.0,0.8105756350419188,0.699685226958487,0.0,0.699685226958487,0.688111642124856,0.0,0.688111642124856,0.6540484577529178,0.0,0.6540484577529178,0.5488169645126458,0.0,0.5488169645126458,0.5367696698387756,0.0,0.5367696698387756,0.4980158078763329,0.0,0.4980158078763329,0.4677034812929,0.0,0.4677034812929,0.44043958376498027,0.0,0.44043958376498027,0.43495526001752144,0.0,0.43495526001752144,0.41354338433682136,0.0,0.41354338433682136
Mus_spretus,1,250,1081,ok,9708683,0.9988184360599529,9695798,0.9976899128320249,6.599813610435404,6.2394825902577695,240.5934811398404,2.461334228515625,0.9082237877853223,0.0,0.9082237877853223,0.81055295605433,0.0,0.81055295605433,0.6996364022702941,0.0,0.6996364022702941,0.6873463352993598,0.0,0.6873463352993598,0.6536740056346977,0.0,0.6536740056346977,0.5491463561281696,0.0,0.5491463561281696,0.536730611219941,0.0,0.536730611219941,0.4955766725688127,0.0,0.4955766725688127,0.4677713741277104,0.0,0.4677713741277104,0.43896004584123954,0.0,0.43896004584123954,0.4345313024739185,0.0,0.4345313024739185,0.40805181697416987,0.0,0.40805181697416987
Mus_spretus,1,500,1029,ok,9689350,0.9968294786674469,9658391,0.9938407622443881,6.680829917171652,6.236561752099458,239.23804866304047,1.666949987411499,0.9079949916871383,0.0,0.9079949916871383,0.8104621150478005,0.0,0.8104621150478005,0.6994943871342096,0.0,0.6994943871342096,0.6863097963468494,0.0,0.6863097963468494,0.6533145581910712,0.0,0.6533145581910712,0.5492684814706585,0.0,0.5492684814706585,0.5367128942262231,0.0,0.5367128942262231,0.4928222155357734,0.0,0.4928222155357734,0.46777601264530594,0.0,0.46777601264530594,0.4377806655316667,0.0,0.4377806655316667,0.43388632845247477,0.0,0.43388632845247477,0.3982260026349477,0.0036060268767818776,0.3982423289963604
Mus_spretus,1,1000,945,ok,9628031,0.9905210486073903,9544434,0.9821146774603817,6.767458712706001,6.2260872136869665,234.99240547555914,1.819286584854126,0.9069426669456776,0.0,0.9069426669456776,0.8100096528576569,0.0,0.8100096528576569,0.6989734466324121,0.0,0.6989734466324121,0.6820305788184228,0.0,0.6820305788184228,0.6509467993768087,0.0,0.6509467993768087,0.5504956591824903,0.0,0.5504956591824903,0.536591560935759,0.0,0.536591560935759,0.481136406802522,0.0,0.481136406802522,0.4677199947039637,0.0,0.4677199947039637,0.43757259790771735,0.0,0.43757259790771735,0.43215950117454477,0.0,0.43215950117454477,0.39226812804359523,0.0,0.39226812804359523
Peromyscus_californicus,1,1,1180,ok,5183604,1.0,5180844,1.0,6.681337656306347,7.2183122998726335,761.2905443019255,,0.8906925107291058,0.0,0.8906925107291058,0.7484303964716273,0.0,0.7484303964716273,0.661968022822486,0.0,0.661968022822486,0.6060028004729818,0.0,0.6060028004729818,0.5800522195979043,0.0,0.5800522195979043,0.5560470355539386,0.0,0.5560470355539386,0.5116020558231545,0.0,0.5116020558231545,0.47381625256999405,0.0,0.47381625256999405,0.45992139011945643,0.0,0.45992139011945643,0.422384761582057,0.007959363527211414,0.422459747531631,0.422384761582057,-0.007959363527211414,0.422459747531631,0.38924695260266967,0.0,0.38924695260266967
Peromyscus_californicus,1,5,1178,ok,5183596,0.9999984566722304,5180828,0.9999969117001014,6.6919842219128425,7.218317085477645,761.2865252003899,1.274755597114563,0.8906925084769135,0.0,0.8906925084769135,0.7484303297564334,0.0,0.7484303297564334,0.6619669889574897,0.0,0.6619669889574897,0.6060028245720888,0.0,0.6060028245720888,0.5800517817600341,0.0,0.5800517817600341,0.5560469685290659,0.0,0.5560469685290659,0.5116021021358168,0.0,0.5116021021358168,0.47381634605356776,0.0,0.47381634605356776,0.4599214887508539,0.0,0.4599214887508539,0.4223845580423503,0.007958804686928198,0.42245953349957227,0.4223845580423503,-0.007958804686928198,0.42245953349957227,0.38925301918238414,0.0,0.38925301918238414
Peromyscus_californicus,1,10,1172,ok,5183557,0.9999909329493534,5180750,0.9999818562380955,6.722244646101172,7.2183426463557705,761.2695205593136,1.9645661115646362,0.8906926726012002,0.0,0.8906926726012002,0.7484305089235097,0.0,0.7484305089235097,0.6619681436595609,0.0,0.6619681436595609,0.6060027237080051,0.0,0.6060027237080051,0.5800491204175832,0.0,0.5800491204175832,0.5560468473009987,0.0,0.5560468473009987,0.5116021702528537,0.0,0.5116021702528537,0.4738191463581032,0.0,0.4738191463581032,0.45991958961586143,0.0,0.45991958961586143,0.4223853206139073,0.00795573306331967,0.4224602380800921,0.4223853206139073,-0.00795573306331967,0.4224602380800921,0.38924552918024674,0.0,0.38924552918024674
Peromyscus_californicus,1,25,1167,ok,5183481,0.9999762713355418,5180598,0.9999525173890587,6.746532367059406,7.218368790838287,761.2419113855401,1.6691827774047852,0.8906918368106863,0.0,0.8906918368106863,0.7484300489133586,0.0,0.7484300489133586,0.6619646578565849,0.0,0.6619646578565849,0.6060025309042532,0.0,0.6060025309042532,0.5800537374785341,0.0,0.5800537374785341,0.5560470674172835,0.0,0.5560470674172835,0.511602501141841,0.0,0.511602501141841,0.4738418622035988,0.0,0.4738418622035988,0.4599177527235143,0.0,0.4599177527235143,0.42238513963121965,0.007958791494633922,0.4224601147366932,0.42238513963121965,-0.007958791494633922,0.4224601147366932,0.38923916102024564,0.0,0.38923916102024564
