species,aligned_arm,moseq_cluster,soft_frames,p_syllable_given_species_arm,p_syllable_repertoire,log2_enrichment_vs_repertoire,moseq_label
Peromyscus_leucopus,2,6,4102.040673352645,0.012470157381138249,0.026279702800546055,-1.0754692871975422,turn_right
Peromyscus_leucopus,2,7,1173.2955737094778,0.003566805310780073,0.023833783952666693,-2.740303642579943,extend_rear
Peromyscus_leucopus,2,8,939.486938994977,0.0028560296983149943,0.01763438337878145,-2.6263082435837632,extend_rear_2
Peromyscus_leucopus,2,9,3115.5719512774644,0.00947130359215479,0.024648901613166296,-1.3798884484657907,still
Peromyscus_leucopus,2,10,827.1217570356183,0.002514440812496314,0.016897503175684246,-2.7485005861481087,motionless_rear
Peromyscus_leucopus,2,11,674.1718853679123,0.0020494749277084564,0.042130944759894096,-4.361554021834976,start_moving
Peromyscus_leucopus,2,12,916.1917830619896,0.0027852126870187397,0.011464369274883191,-2.041297580304432,leave_rear_turn_right
Peromyscus_leucopus,2,13,1340.9853940451512,0.004076580473270489,0.03435619147361984,-3.075138716841352,take_a_step
Peromyscus_leucopus,2,14,4699.989947771646,0.014287916431257092,0.06941183880562808,-2.28038620084105,curve_spine
Peromyscus_leucopus,2,15,799.7313038236995,0.0024311741436619048,0.012744230421561972,-2.3901191151732504,leave_rear_turn_left
Peromyscus_leucopus,2,16,3336.4000372925857,0.010142618482978,0.017884303409966176,-0.8182637709783211,brief_walk
Peromyscus_leucopus,2,17,4271.865097430837,0.012986421714930278,0.017462096356820934,-0.42722280292433307,slow_locomotion
Peromyscus_leucopus,2,18,1333.8648879738362,0.0040549342151240345,0.019430739064254514,-2.260590361761406,leave_rear_turn_right_2
Peromyscus_leucopus,2,19,475.0079317861413,0.0014440187551384956,0.027835185886624505,-4.2687483323167115,high_rear
Peromyscus_leucopus,2,20,618.0817336457733,0.0018789614990994406,0.009911856987303822,-2.399219866293361,enter_wall_rear
Peromyscus_leucopus,2,21,996.6822318768204,0.0030299027435849108,0.016183347652003455,-2.4171666806965506,leave_rear_turn_left_2
Peromyscus_leucopus,2,22,2497.934075441521,0.0075936914157910766,0.01993118357480233,-1.3921541057945785,stopping
Peromyscus_leucopus,2,23,11233.878842291911,0.03415086497655898,0.04476507848228931,-0.3904515959133676,scrunch_idle
Peromyscus_leucopus,2,24,628.055957376432,0.0019092830267439583,0.008457368189545029,-2.1471778077394674,end_and_enter_rear
Peromyscus_leucopus,2,25,440.0231720061578,0.0013376654799913859,0.009207616985881323,-2.783110446621069,mid_rear
Peromyscus_leucopus,2,26,131719.40670093062,0.40042551074177335,0.02360235103334481,4.084531410975152,still_2
Peromyscus_leucopus,2,27,2815.7920949781687,0.00855997621014425,0.013416974814670387,-0.6483807250888537,stop_rear_start_walking
Peromyscus_leucopus,2,28,861.5147494336239,0.002618995121476602,0.04318116061059329,-4.0433167427876455,mid_rear_2
