species,ranking,support_cutoff,n_retained_clusters,nn_absorption_sigma,nn_absorption_n_neighbors,status,n_macro_clusters,n_absorbed_clusters,supported_occupancy_fraction,transition_entropy_bits,transition_entropy_weighting,mean_transition_entropy_bits,entropy_delta_from_full_n_bits,entropy_delta_from_previous_n_bits,pi_effective_clusters,max_leading_eigen_delta_from_full_n,max_leading_eigen_delta_from_previous_n,lambda_2_abs,lambda_2_real,lambda_2_imag,lambda_3_abs,lambda_3_real,lambda_3_imag,lambda_4_abs,lambda_4_real,lambda_4_imag,lambda_5_abs,lambda_5_real,lambda_5_imag,lambda_6_abs,lambda_6_real,lambda_6_imag
Mus_caroli,occupancy_descending,725,725,2.0,3,ok,725,275,0.9189202137893323,7.9672239055122525,empirical_macro_occupancy,7.870617309810001,0.02928382322059786,-0.004052393813623212,626.9062902679849,0.11664292262841769,0.0041510095591579255,0.7314338773953482,0.7314338773953482,0.0,0.6590394903877536,0.6590394903877536,0.0,0.5125532696405763,0.5125532696405763,0.0,0.4235258585399706,0.4235258585399706,0.0,0.382132705982843,0.382132705982843,0.0
Mus_caroli,occupancy_descending,700,700,2.0,3,ok,700,300,0.9048475330389314,7.959663941751694,empirical_macro_occupancy,7.882360623257951,0.02172385946003974,-0.007559963760558119,611.0681132581825,0.1604795401070907,0.04383661747867301,0.7281949460084798,0.7281949460084798,0.0,0.6537585556017772,0.6537585556017772,0.0,0.5054352463774542,0.5054352463774542,0.0,0.3796892410612976,0.3796892410612976,0.0,0.3769076594350351,0.3769076594350351,0.0
Mus_caroli,occupancy_descending,675,675,2.0,3,ok,675,325,0.8896321131447408,7.9553004283933415,empirical_macro_occupancy,7.894076367996809,0.017360346101686908,-0.004363513358352833,595.9865937519127,0.16275367359877974,0.00438872441131688,0.7249536784180852,0.7249536784180852,0.0,0.6493698311904603,0.6493698311904603,0.0,0.5038150005743182,0.5038150005743182,0.0,0.37741510756960855,0.37741510756960855,0.0,0.3726355348814677,0.3726355348814677,0.0
Mus_caroli,occupancy_descending,650,650,2.0,3,ok,650,350,0.8734990782399492,7.949336322144027,empirical_macro_occupancy,7.914685427001532,0.011396239852372148,-0.00596410624931476,578.2019481590561,0.16994545973632091,0.007233573826215478,0.7206710344939817,0.7206710344939817,0.0,0.6421362573642448,0.6421362573642448,0.0,0.49997484085023275,0.49997484085023275,0.0,0.3702233214320674,0.3702233214320674,0.0,0.3400378974709726,0.3400378974709726,0.0
Mus_caroli,occupancy_descending,625,625,2.0,3,ok,625,375,0.8565409111702805,7.934533123762817,empirical_macro_occupancy,7.91903391858447,-0.003406958528837656,-0.014803198381209803,555.4403562477617,0.17697096129712364,0.009117595341032403,0.7155047346227186,0.7155047346227186,0.0,0.6330186620232124,0.6330186620232124,0.0,0.4950022739292327,0.4950022739292327,0.0,0.36319781987126465,0.36319781987126465,0.0,0.3244054906975952,0.3244054906975952,0.0
Mus_caroli,occupancy_descending,600,600,2.0,3,ok,600,400,0.8387814055433076,7.922136000778673,empirical_macro_occupancy,7.921419779560344,-0.015804081512981405,-0.01239712298414375,537.0694090317932,0.1810112308035654,0.004040269506441763,0.7127873583357209,0.7127873583357209,0.0,0.6300275237822046,0.6300275237822046,0.0,0.4910612534002159,0.4910612534002159,0.0,0.3591575503648229,0.3591575503648229,0.0,0.32007532797383376,0.32007532797383376,0.0
Mus_caroli,occupancy_descending,575,575,2.0,3,ok,575,425,0.8200720935543117,7.907407657991936,empirical_macro_occupancy,7.913919697126121,-0.03053242429971892,-0.014728342786737514,517.2679137952334,0.18394057351964427,0.010066154289965379,0.71132022849441,0.71132022849441,0.0,0.6279272508220672,0.6279272508220672,0.0,0.4809950991102505,0.4809950991102505,0.0,0.356228207648744,0.356228207648744,0.0,0.31308553657081906,0.31308553657081906,0.0
Mus_caroli,occupancy_descending,550,550,2.0,3,ok,550,450,0.8003435323214626,7.8889178639133295,empirical_macro_occupancy,7.905300352037682,-0.0490222183783251,-0.01848979407860618,499.20336157220083,0.18745164539617276,0.007149471565064125,0.7096939794619512,0.7096939794619512,0.0,0.6258083457632576,0.6258083457632576,0.0,0.4738456275451864,0.4738456275451864,0.0,0.35271713577221553,0.35271713577221553,0.0,0.3099863441337386,0.3099863441337386,0.0
Mus_caroli,occupancy_descending,525,525,2.0,3,ok,525,475,0.7794329348101448,7.866965512960884,empirical_macro_occupancy,7.890530181576221,-0.07097456933077062,-0.02195235095244552,477.9513495225967,0.1911555907562697,0.004460326436841355,0.7077181368056187,0.7077181368056187,0.0,0.6228907781340283,0.6228907781340283,0.0,0.46938530110834503,0.46938530110834503,0.0,0.3490131904121186,0.3490131904121186,0.0,0.30575105590157037,0.30575105590157037,0.0
Mus_caroli,occupancy_descending,500,500,2.0,3,ok,500,500,0.7574436578677332,7.832644959047773,empirical_macro_occupancy,7.868236263650843,-0.10529512324388168,-0.03432055391311106,451.09635059067057,0.19863068950972518,0.014734141399563971,0.704105593063448,0.704105593063448,0.0,0.6174549779402704,0.6174549779402704,0.0,0.45465115970878106,0.45465115970878106,0.0,0.3415380916586631,0.3415380916586631,0.0,0.29964671210396493,0.29964671210396493,0.0
