species,aligned_arm,moseq_cluster,soft_frames
Mus_musculus,2,21,39153.07234665459
Mus_musculus,2,22,38216.59745110243
Mus_musculus,2,23,135857.36016987814
Mus_musculus,2,24,9229.437726790586
Mus_musculus,2,25,20069.286487414905
Mus_musculus,2,26,74283.62303996434
Mus_musculus,2,27,11500.49335489752
Mus_musculus,2,28,143014.05969758256
Mus_musculus,2,29,21235.522746536695
Mus_musculus,2,30,15978.519999561857
Mus_musculus,2,31,73771.24376513722
Mus_musculus,2,32,142922.51536578868
Mus_musculus,2,33,4772.677370612997
Mus_musculus,2,34,60551.64863266521
Mus_musculus,2,35,83098.79637913003
Mus_musculus,2,36,44310.740559536265
Mus_musculus,2,37,49660.85642483791
Mus_musculus,2,38,573.4001627278436
Mus_musculus,2,39,39984.817388203606
Mus_musculus,2,40,34402.19519755211
Mus_musculus,2,41,11415.455842787123
Mus_musculus,2,42,41764.17016546785
Mus_musculus,2,43,47784.57427455787
Mus_musculus,2,44,53880.89184762418
Mus_musculus,2,45,1760.6772892114484
Mus_musculus,2,46,27611.99937528105
Mus_musculus,2,47,31262.905455715314
Mus_musculus,2,48,32345.814937713036
Mus_musculus,2,49,4970.343194824839
Mus_musculus,2,50,0.3287994891213618
Mus_musculus,2,51,1.6397066827400668
Mus_musculus,2,56,0.7111368257479159
Mus_musculus,2,61,14.610803829044396
Mus_musculus,2,64,2.499785977358661
Mus_musculus,2,66,1.2112055577679801
Mus_musculus,2,67,0.9968986069680149
Mus_musculus,2,68,2.2384543472287524
Mus_musculus,2,72,4.011037882856148
Mus_musculus,2,73,1.059448703105518
Mus_musculus,2,78,3.1050038192098266
Mus_musculus,2,85,1.5280901868760761
Mus_musculus,2,86,4.006089971428281
Mus_spretus,1,0,44185.34196384999
Mus_spretus,1,1,62968.663485334044
Mus_spretus,1,2,45778.67944087527
Mus_spretus,1,3,53535.60088269595
Mus_spretus,1,4,41194.94572908621
Mus_spretus,1,5,17454.176793889266
Mus_spretus,1,6,36127.012519867174
Mus_spretus,1,7,14264.393954228291
Mus_spretus,1,8,6705.359270304844
Mus_spretus,1,9,83131.95479027327
Mus_spretus,1,10,13139.057303870151
Mus_spretus,1,11,48342.913319431034
Mus_spretus,1,12,5612.496757786738
Mus_spretus,1,13,38067.587600307175
Mus_spretus,1,14,242292.49686559156
Mus_spretus,1,15,8299.539093159856
Mus_spretus,1,16,888.0373613362758
Mus_spretus,1,17,6732.712717146361
Mus_spretus,1,18,29637.805891060576
Mus_spretus,1,19,27706.004338872077
Mus_spretus,1,20,630.1066692605987
Mus_spretus,1,21,21782.275373706274
Mus_spretus,1,22,7448.449436887634
Mus_spretus,1,23,287388.2325246034
Mus_spretus,1,24,511.75539799202045
Mus_spretus,1,25,5069.654554288559
Mus_spretus,1,26,94450.72701900148
Mus_spretus,1,27,1610.5350920895048
Mus_spretus,1,28,35480.52788201661
Mus_spretus,1,29,3663.5315654301908
Mus_spretus,1,30,4530.016566839124
Mus_spretus,1,31,123381.59897416645
Mus_spretus,1,32,21195.947378685953
Mus_spretus,1,33,132.6341046593642
Mus_spretus,1,34,23051.27916354377
Mus_spretus,1,35,112725.56549905668
Mus_spretus,1,36,65606.37267770134
Mus_spretus,1,37,48457.05748128113
Mus_spretus,1,38,310.16646674420383
Mus_spretus,1,39,47192.303422638004
Mus_spretus,1,40,38277.82844334442
Mus_spretus,1,41,2991.465456173133
Mus_spretus,1,42,32856.85138282554
Mus_spretus,1,43,4715.052458566607
Mus_spretus,1,44,20646.957384643316
Mus_spretus,1,45,2026.5106931176028
Mus_spretus,1,46,8099.753709819213
Mus_spretus,1,47,26770.61346026685
Mus_spretus,1,48,18534.390531859946
Mus_spretus,1,49,5625.005985603138
