component,explained_variance,explained_variance_ratio,cumulative_variance_ratio
49,3.403264048501838,0.00013414519850061618,0.9968651259246347
50,3.2560342011391654,0.00012834189413803653,0.9969934678187727
51,3.210246947563293,0.0001265371149224957,0.9971200049336952
52,2.9619861846283135,0.0001167515123805808,0.9972367564460758
53,2.783669043400075,0.00010972285166979799,0.9973464792977456
54,2.5313546713598893,9.977746951915682e-05,0.9974462567672647
55,2.4705383117751083,9.738029359853536e-05,0.9975436370608632
56,2.3690775131946817,9.338105087988886e-05,0.9976370181117431
57,2.3446707067153203,9.241901682867226e-05,0.9977294371285718
58,2.2353932531278504,8.811166791474178e-05,0.9978175487964865
59,2.1987325833010445,8.666662787053853e-05,0.997904215424357
60,2.1651336937279417,8.53422728845749e-05,0.9979895576972416
61,1.9836630375571362,7.818931124329819e-05,0.9980677470084849
62,1.9568145572772668,7.713103464023284e-05,0.9981448780431251
63,1.8603143155941284,7.332732035551825e-05,0.9982182053634806
64,1.837462996473638,7.242659837340565e-05,0.998290631961854
65,1.692894865065565,6.67282098827635e-05,0.9983573601717367
66,1.6335167267757564,6.438772379823831e-05,0.998421747895535
67,1.6141651688455074,6.362495060672172e-05,0.9984853728461417
68,1.4598229353538896,5.754129995437935e-05,0.9985429141460961
69,1.3094042176916092,5.161230107229221e-05,0.9985945264471684
70,1.2273320785561286,4.8377293961825484e-05,0.9986429037411302
71,1.2039411305299847,4.745530162700622e-05,0.9986903590427572
72,1.1777261078385075,4.6421993787082826e-05,0.9987367810365443
73,1.1645216368487072,4.590151804474302e-05,0.998782682554589
74,1.0612800083307063,4.183208101203003e-05,0.9988245146356011
75,1.0383617670383662,4.0928721183456234e-05,0.9988654433567845
76,1.0102761377471279,3.9821680336024364e-05,0.9989052650371205
77,0.9149259168673649,3.606329599537232e-05,0.9989413283331159
78,0.8919105587118921,3.515610814737451e-05,0.9989764844412633
79,0.8404685249991216,3.3128436557592124e-05,0.9990096128778209
80,0.8164760241317066,3.21827330372313e-05,0.999041795610858
81,0.7850504571343693,3.094404310228253e-05,0.9990727396539604
82,0.7674184665131919,3.024904945849517e-05,0.9991029887034188
83,0.7314825004021605,2.883257479224121e-05,0.9991318212782111
84,0.7253066200791309,2.858914240496772e-05,0.9991604104206161
85,0.6931134715912951,2.732019699470441e-05,0.9991877306176108
86,0.6547273912049704,2.5807147081533275e-05,0.9992135377646923
87,0.6500904495026607,2.562437446788141e-05,0.9992391621391602
88,0.6020065474866516,2.3729069111407175e-05,0.9992628912082716
89,0.5821899347536225,2.2947965026976155e-05,0.9992858391732986
90,0.5539743947499364,2.1835803537107997e-05,0.9993076749768357
91,0.5466796458207407,2.1548269120391232e-05,0.9993292232459561
92,0.5098155945937517,2.0095212466865265e-05,0.9993493184584229
93,0.48717741884857313,1.92028918782334e-05,0.9993685213503011
94,0.4678644285845109,1.844163889413022e-05,0.9993869629891952
95,0.4646629955734054,1.831544919487658e-05,0.99940527843839
96,0.4492798667994556,1.7709098105589092e-05,0.9994229875364956
97,0.43424201045133787,1.7116356491628806e-05,0.9994401038929872
98,0.41678401254152186,1.6428221054101838e-05,0.9994565321140413
99,0.4119516538813698,1.623774576260113e-05,0.9994727698598039
100,0.3784813881969193,1.4918460696816862e-05,0.9994876883205007
