global_id,species,source_individual_id,component,mean,std,variance,q01,q99
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,48,-2.9195896786404774e-05,0.0020376062020659447,4.1518392208672594e-06,-0.004860812444239855,0.0047410331107676056
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,49,0.0001913438900373876,0.0020772709976881742,4.315054411563324e-06,-0.004701890759170055,0.005005416050553324
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,50,-0.0001291792723350227,0.002006917493417859,4.027717750432203e-06,-0.0048525619506835935,0.004619516562670473
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,51,2.8585003747139126e-05,0.0020807033870369196,4.329326202423545e-06,-0.004999463967978954,0.004995992481708527
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,52,0.00011663859913824126,0.001792636583559215,3.2135458241100423e-06,-0.004506777562201023,0.0041989324800670155
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,53,0.0003476108249742538,0.0018207250395789742,3.315039748486015e-06,-0.003961347416043282,0.004559046439826489
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,54,-3.079179805354215e-05,0.0018513367976993322,3.4274480640306138e-06,-0.004990773517638445,0.004804391507059336
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,55,0.00011845923290820792,0.0017100723925977945,2.9243476546980673e-06,-0.004037613719701767,0.004213740918785342
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,56,-0.0002338528574910015,0.0018156890291720629,3.2967268452921417e-06,-0.00444820336997509,0.004171671066433193
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,57,4.192158485238906e-06,0.0017030071467161179,2.90023331217526e-06,-0.004022576455026865,0.004075488951057196
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,58,-7.76905071688816e-05,0.0018309983424842358,3.35255481331842e-06,-0.004326510708779097,0.004303455278277401
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,59,8.796712063485757e-05,0.0018256052862852812,3.3328344670735532e-06,-0.004119609203189612,0.004627579301595692
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,60,-2.102063263009768e-05,0.0017128062900155783,2.933705445684609e-06,-0.004087260719388724,0.004040191099047666
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,61,-8.715390140423551e-05,0.0016622397815808654,2.763041266007349e-06,-0.004229944795370102,0.0038688881322741565
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,62,0.00012041942682117224,0.0015643633669242263,2.447232873237226e-06,-0.003606186332181096,0.0038013537228107617
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,63,6.467424100264907e-05,0.0016107972478494048,2.594667648736504e-06,-0.0036482064239680765,0.003947727624326949
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,64,-0.00012492215319070965,0.001602277858182788,2.5672943593235686e-06,-0.0038571922108531,0.0038856089208275093
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,65,4.371305840322748e-05,0.0015765894204378128,2.485634240656509e-06,-0.0036682339664548635,0.0037087466567754758
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,66,-0.0001330215745838359,0.0015890889335423708,2.525203626646544e-06,-0.0039024381525814534,0.0036424206197261844
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,67,-0.00021071576338727027,0.0015920480946078897,2.534617124183569e-06,-0.0039139589108526706,0.0035846177395433224
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,68,-0.00015524966875091195,0.0015530814416706562,2.4120618036249653e-06,-0.0038659218326210975,0.0034742596279829763
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,69,-4.983260441804305e-05,0.0014677082654088736,2.1541675323533127e-06,-0.003562642587348819,0.0033989187330007572
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,70,-5.768028131569736e-05,0.0014890138991177082,2.217162318629562e-06,-0.003546611536294222,0.003514647223055366
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,71,-0.0001704932510619983,0.0015680503565818071,2.4587820917076897e-06,-0.0039095086045563224,0.003596925549209119
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,72,3.031490632565692e-05,0.0014246408827602863,2.02960177375644e-06,-0.0032964408304542304,0.003301113126799468
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,73,0.00010340541484765708,0.0014358062762767076,2.061539589703898e-06,-0.0032780017983168363,0.0034803719632327617
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,74,-0.0002248045348096639,0.0014925934374332428,2.2278352389548672e-06,-0.003709156569093466,0.0032965988479554714
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,75,-5.472797420225106e-05,0.0014547285391017795,2.116235236826469e-06,-0.0034751350712031127,0.0033417088352143795
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,76,5.017347211833112e-05,0.0013761573936790228,1.8938092125608819e-06,-0.0032495799753814937,0.003310246244072915
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,77,7.734814971627202e-06,0.0013136774068698287,1.7257482340937713e-06,-0.003123394874855876,0.003101547602564101
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,78,7.608286523463903e-06,0.0014913493068888783,2.2241229089559056e-06,-0.0034779762011021374,0.0036713021621108087
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,79,5.5191405408550054e-05,0.0013829577947035432,1.912572315632133e-06,-0.0032198295276612042,0.003316109348088507
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,80,2.976606765514589e-06,0.0012564323842525482,1.578622459419421e-06,-0.0032092819083482027,0.0030823416635394137
